ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"QN1471",124287.19658639996
"SI112.02",896986.2834431991
"SI170.07",992964.3676156793
"SI170.08",277620.62153184024
"SI228",4442848.22138256
"BK137",46678.8072873601
"BK139",47342.947894559984
"BK141",47744.47483344009
"BK121",51075.67591295997
"BK117",77739.40581120005
"BK77",114752.06985024064
"BK119",166800.34768896006
"QN1579.03",206776.20064032005
"QN1617",211645.87606224045
"QN656",179426.42824319992
"BK80",42871.78006272
"BK98",35098.071739200015
"BK108",32681.292056640035
"BK96",31965.450907679988
"BK100",40995.3244608
"BK106",35607.644913600016
"BK706",550282.3110460803
"SI74",170226.00793439985
"SI251",429459.42236976034
"SI273.01",1664164.0032782403
"BK308",153071.90288784003
"BK314",442235.4484305604
"BK348",174799.53169056
"BK350",83378.71324224002
"BK326",109994.78388096
"BK170",26642.75703695999
"BK178",37823.01080544005
"BK168",57947.13313776005
"BK174",60954.26518799999
"BK180",41863.48014383998
"BK154",701009.6663649601
"BK172",37407.85034543999
"BK184",37633.18666895998
"QN788",46507.912145279966
"QN294",370552.69373184023
"QN306",434243.5340918406
"QN149",21077.725586399985
"QN57",45499.33351728003
"QN59",55009.353206879976
"QN155",34000.07393519999
"QN157",18120.877306559993
"QN61",50799.15001440007
"QN63",54735.289238879974
"SI239",169022.9600179201
"SI247",133519.69166976004
"SI303.02",344495.24907264067
"BK256",39893.09956848001
"BK258",41842.135670400006
"BK266",46172.53217088001
"BK268",53970.13980144
"BK270",43080.48674208002
"BK272",39567.38151024001
"BK404",33908.680569600045
"BK426",39564.640870560004
"BK428",36042.524043840014
"BK430",39118.33466640003
"BK432",29415.076653600034
"BK434",31552.98463584001
"BK436",22703.853947040006
"BK453",74471.70395952031
"BK485",124979.76552383993
"BK449",637545.8345831992
"QN646",123575.30381664014
"QN618",75081.28725648006
"QN632",70255.97303616002
"QN616.02",163975.11979103976
"QN638",225160.22580768
"SI141",100893.04982640014
"SI105",274154.98975344
"SI133.02",297551.0642515196
"SI121",227789.40506544014
"SI125",160619.50843776
"SI147",857696.17105584
"QN119",16030.907292960008
"QN121",28611.558260639988
"QN145",29799.74169072
"QN137",41791.87512576003
"QN135",37734.96194928001
"QN141",18972.75173184002
"QN297",133571.9728555199
"QN299",271200.1621147201
"QN317",273658.3068758402
"SI59",632975.9340456001
"QN661",22632.318606240002
"QN671",53578.925100000015
"QN677",34474.69234079997
"QN663",215824.4457696
"BK744",53181.48589488002
"BK746",41057.12820815998
"BK748",50885.01564912003
"BK750",44747.49244032001
"BK752",65191.75864848002
"BK754",58068.069670079974
"BK742",37586.433214079996
"SI114.02",158939.65889423987
"SI122",254478.84587999998
"SI181",2179323.414247678
"BX250",40022.815438080004
"BX252",42130.018965600015
"BX254",38985.64589952002
"BX288",108014.7878409601
"BX256",55967.43903264009
"BX296",268767.8908502402
"BX200",47384.56845648003
"BX286",50852.522810879986
"BX284",437974.3343721604
"BK1134",37262.34095904002
"BK1152",45569.61466704003
"BK1156",31780.20224591998
"BK1160",65245.433379840026
"BK1198",37664.913057120044
"BK1144",72571.76711424
"BK1158",58279.12215120001
"SI279",2293591.1573246405
"SI277.05",102227.71812479988
"SI277.06",80222.05374912017
"SI277.02",273942.2417918415
"SI20.01",213403.20674112006
"SI20.02",293482.2594859195
"SI50",279993.9690432
"SI64",238423.52831328023
"QN1479",353551.2748315199
"BK1130",54978.69520368
"BK1132",60737.24368656002
"BK918",72840.65173776005
"BK920",70092.57981456003
"BK910",78133.77921599994
"BK912",69649.68779712002
"BX312",52180.68789647998
"BX314",62024.39208000003
"BX360",73464.77436048002
"BX310",180664.26834815997
"BX356",104628.44880720001
"BX1",751309.857377281
"QN179",74745.02470320012
"QN1",453910.6199188803
"QN199",634395.23701344
