,2010_distance_from_park,2014_distance_from_park,2018_distance_from_park,d_2010_2014_distance_from_park,d_2014_2018_distance_from_park,d_2010_2018_distance_from_park
SI207,1375.0888071521315,1375.0888071521313,1375.0888071521297,-2.2737367544323206e-13,-1.5916157281026244e-12,-1.8189894035458565e-12
QN1579.01,3643.0173501401705,3643.0173501401655,3643.0173501401646,-5.002220859751105e-12,-9.094947017729282e-13,-5.9117155615240335e-12
QN840,2745.7201556642112,2745.7201556642126,2745.720155664216,1.3642420526593924e-12,3.183231456205249e-12,4.547473508864641e-12
QN1047,1225.263346740555,1225.2633467405533,1225.263346740553,-1.8189894035458565e-12,-2.2737367544323206e-13,-2.0463630789890885e-12
SI170.12,1709.8129111872104,1709.8129111872108,1709.8129111872113,4.547473508864641e-13,4.547473508864641e-13,9.094947017729282e-13
SI244.02,1323.1798180113572,1319.580982382888,1318.3813705067312,-3.59883562846926,-1.1996118761567232,-4.798447504625983
SI105,1577.0158203242186,1577.0158203242222,1577.0158203242158,3.637978807091713e-12,-6.366462912410498e-12,-2.7284841053187847e-12
SI170.09,2237.8260214434563,2237.826021443458,2311.407930789062,1.8189894035458565e-12,73.58190934560389,73.58190934560571
QN929,1337.1595415645054,1337.1595415645054,1337.1595415645047,0.0,-6.821210263296962e-13,-6.821210263296962e-13
QN837,1380.8075410274378,1380.8075410274357,1380.807541027435,-2.0463630789890885e-12,-6.821210263296962e-13,-2.7284841053187847e-12
BX132,1798.462528425292,1798.4625284252922,1798.4625284252897,2.2737367544323206e-13,-2.5011104298755527e-12,-2.2737367544323206e-12
BX426,1985.5555704682574,1973.3386461992188,1969.2663381095356,-12.2169242690386,-4.072308089683247,-16.289232358721847
QN1017,2669.0090113857573,2669.0090113857564,2669.009011385759,-9.094947017729282e-13,2.7284841053187847e-12,1.8189894035458565e-12
SI170.11,1517.9004524552151,1517.9004524552108,1517.9004524552179,-4.320099833421409e-12,7.048583938740194e-12,2.7284841053187847e-12
SI189.02,2028.2140390745396,2028.2140390745424,2028.2140390745426,2.7284841053187847e-12,2.2737367544323206e-13,2.9558577807620168e-12
SI303.02,1233.9129046054543,1233.9129046054531,1233.9129046054538,-1.1368683772161603e-12,6.821210263296962e-13,-4.547473508864641e-13
QN945,946.423985890693,946.4239858906925,946.4239858906927,-4.547473508864641e-13,2.2737367544323206e-13,-2.2737367544323206e-13
QN58,983.3415148476051,983.3415148476053,983.3415148476062,1.1368683772161603e-13,9.094947017729282e-13,1.0231815394945443e-12
SI146.05,1191.6214781718718,1191.6214781718725,1191.621478171873,6.821210263296962e-13,4.547473508864641e-13,1.1368683772161603e-12
SI122,2023.7744649131614,2023.7744649131632,2023.7744649131635,1.8189894035458565e-12,2.2737367544323206e-13,2.0463630789890885e-12
SI134,1190.3593213993768,1190.3593213993759,1190.359321399376,-9.094947017729282e-13,2.2737367544323206e-13,-6.821210263296962e-13
BX274.01,1506.917059206029,1506.9170592060286,1506.9170592060304,-4.547473508864641e-13,1.8189894035458565e-12,1.3642420526593924e-12
SI277.05,2017.6767453347388,2017.6767453347363,2017.6767453347372,-2.5011104298755527e-12,9.094947017729282e-13,-1.5916157281026244e-12
SI213,2180.326285358275,2180.3262853582746,2180.3262853582723,-4.547473508864641e-13,-2.2737367544323206e-12,-2.7284841053187847e-12
QN991,1680.9147070693068,1680.9147070693068,1680.9147070693118,0.0,5.002220859751105e-12,5.002220859751105e-12
QN1417,1203.1395660654036,1203.1395660654007,1203.1395660653993,-2.9558577807620168e-12,-1.3642420526593924e-12,-4.320099833421409e-12
QN1277,2648.9792247366904,2648.97922473669,2648.979224736694,-4.547473508864641e-13,4.092726157978177e-12,3.637978807091713e-12
SI146.07,2077.0888013426847,2077.088801342686,2077.0888013426847,1.3642420526593924e-12,-1.3642420526593924e-12,0.0
QN779.02,1162.2486362080215,1162.24863620802,1162.2486362080197,-1.5916157281026244e-12,-2.2737367544323206e-13,-1.8189894035458565e-12
SI128.06,1032.820794431682,1032.8207944316828,1032.8207944316828,6.821210263296962e-13,0.0,6.821210263296962e-13
QN542,2442.821103199894,2442.8211031998935,2442.8211031998953,-4.547473508864641e-13,1.8189894035458565e-12,1.3642420526593924e-12
BK696.02,1576.4590005536172,1576.4590005536193,1576.4590005536197,2.0463630789890885e-12,4.547473508864641e-13,2.5011104298755527e-12
QN1059,1456.1120754330186,1456.1120754330163,1456.1120754330157,-2.2737367544323206e-12,-6.821210263296962e-13,-2.9558577807620168e-12
