ITZ_GEOID,SQUARE_METER_GREENSPACE_COVERAGE
"QN214",31821.497647200016
"QN232",67425.91418015999
"QN236",18350.27813808
"QN446.02",12767.897044799998
"QN448",41831.54472384009
"QN460",6463.450298880002
"QN462",15926.461050239996
"QN468",16787.62577952002
"QN470",16260.726188160032
"QN444",29109.565006560126
"QN502.01",42664.0953168
"QN404",107456.97476304002
"QN500",50014.88577648
"QN502.02",31680.633412800024
"QN506",48428.14830480006
"QN508",29199.588052320007
"QN510",33378.76162944002
"QN512",68455.5817982401
"QN536.01",34440.38789328002
"QN538",35274.03009696004
"QN580",136806.15993551989
"QN582",129258.83309471993
"MK427",8572.697693279992
"MK429",20708.71471152002
"MK431",11212.769832479997
"MK443",10416.68368272001
"MK445",11102.911987680012
"MK441",10133.910054720003
"QN545",8494.519785120005
"QN547",11965.07542464
"QN549",11839.331159999998
"QN551",11192.749227360004
"QN583",15166.676763360005
"QN585",13822.485903360006
"QN627",10562.843390400005
"QN581",15873.181156799978
"QN577",12628.960548479998
"QN579",3915.839910240001
"QN623",16429.62391488003
"QN625",16404.307836480017
"QN629",16819.282490400015
"QN633.01",10137.928111200012
"QN633.02",11868.96722975999
"QN561",2267671.789808641
"QN635",16732.511051040005
"QN639",30103.975920960012
"QN130",40826.33383104009
"QN132",38694.34841760003
"QN134",43794.56273328002
"QN140",31311.69221519998
"QN144",16699.530471840004
"QN142.01",13074.988043520008
"QN142.02",28809.186252480016
"QN212",10767.694593600021
"QN240",46852.11790848004
"QN238",7105.015467360005
"QN446.01",4963.623621120009
"QN208",20220.486010560002
"QN246",90056.07279072012
"QN254",106011.05507423995
"QN440",51245.781379199994
"QN414",81352.73019744005
"QN402",55396.921464000035
"QN504",49171.53520511996
"QN524",35814.86514432
"QN518",24811.03424880001
"QN520",27437.263835040012
"QN522",30529.077006239975
"QN532",26331.926690880002
"QN516",30071.390179679995
"QN534.01",46493.81410896007
"QN590",37648.63179936
"QN592",73010.75720400017
"MK417",22402.592614080007
"MK433",24632.102993760018
"MK435",17462.35733328002
"MK439",9765.177888959997
"QN553",8390.398703039999
"MK437",21518.155673279995
"QN557",31535.379509760038
"QN559",13171.096238399987
"QN555",6657.757007040009
"QN565",17259.526771200006
"QN567",40761.85912128001
"QN2",19480.072007520037
"QN12",31430.56165488002
"MK1180",555897.9049761597
"QN14",24497.138102400022
"QN641.01",15733.013695200007
"QN28",25135.916179679974
"QN24",15826.172218559987
"QN26",21707.770777920003
"QN22",17170.223724000007
"QN124",16344.222795360007
"QN126.01",13375.366797600002
"QN126.02",12730.619700000012
"QN128",27844.52753663999
"QN122",18983.992999679976
"QN150",12151.717631999993
"QN148",19790.48428992
"QN152",13564.679967359993
"QN206",8024.523305759997
"QN204",23391.986764319983
"QN198",26633.652539040042
"QN258",35896.364336160026
"QN260",36155.84252688001
"QN434",44718.27443423998
"QN264",52010.83791360014
"QN424",152489.42405280005
"QN400",42228.1013500801
"QN398",43974.19076111999
"QN526",28574.234464319983
"QN530",38523.96424223997
"QN528",38007.09817920006
"QN384",59314.85169264012
"QN596",36767.35356192004
"QN598",37357.961412960016
"QN600",39451.55464511999
"QN608",43666.86750479989
"QN594",58568.86350720005
"QN622",132968.59083647997
"MK411",15110.633004479998
"MK407",443321.4849681593
"MK409",16957.545439680005
"MK1176.02",12521.285925119993
"MK1182.01",6371.4530635200035
"QN10",13206.794231520014
"QN6",11436.52680432
"QN4",17392.7265048
"MK1182.02",10834.724136960007
"QN16",11814.479596800016
"QN18",11327.969602080002
"QN8",15830.515435680023
"QN114",4193.248387680002
"QN20",14912.470820160002
"QN32",9315.039434399994
"QN30",12459.180242880017
"QN116",9422.737283520011
"QN110",8035.3000584
"QN118",10422.884960639994
"QN106",8127.041810400001
"QN154",8389.74838176002
"QN120",10495.97642736002
"QN108",7899.336459359996
"QN156",14509.852270560006
"QN158.02",13187.934914400004
"QN158.01",39368.05803792
"QN202",22468.06603152001
"QN194",66881.43268848
"QN196",31638.10704624
"QN190",25231.188247199934
"QN270",29910.76082352
"QN262",28899.325427039992
"QN266",40195.28993184002
"QN280",28590.097658400016
"QN276",27141.507007199994
"QN278",40711.97018880004
"QN426",268426.28637215996
"QN432",74390.04218736029
"QN282",26241.671387520037
"QN368",34158.86845632001
"QN366",56169.24766127995
"QN394",65957.81389056006
"QN376",174954.51718704012
"QN624",363033.51651215984
"QN610",70977.08643264009
"QN606",51900.817488479996
"QN612",65911.73398272003
"QN614",64739.692455840144
"MK403",27696.881380320036
"MK405",14354.216452800003
"MK1146",17915.236427520056
"MK1172.01",11923.547765759991
"MK1142.01",51590.24262575998
"MK1142.02",30168.96159744001
"MK1172.02",13794.17370192001
"MK1174",21276.445188959995
"MK1168",8686.68972335999
"QN34",12391.91844192
"MK1186",10363.101854400005
"MK1184",12232.009084320001
"QN36",10798.306145280003
"QN42",9679.7999952
"QN52",6255.092005920005
"QN38",10269.362687040011
"QN54",23455.69502400001
"QN40.01",11483.419613759996
"QN40.02",4456.744634879999
"QN94",7465.270230720003
"QN112",13316.535947520046
"QN96",10581.516901440002
"QN98",4117.950473760016
"QN104",9554.055730560005
"QN100",17428.56385248002
"QN102",19576.96987824002
"QN164",16462.813525920006
"QN166",14122.49304528002
"QN168",20444.521691520014
"QN170",29859.80350607995
"QN172",21674.90632752
"QN174",24237.195396480005
"QN188",55080.47048399997
"QN192",38558.70997920004
"QN176",26022.60601920001
"QN272",21442.67195328001
"QN274",29889.555704639977
"QN288",257663.7246715198
"QN184.02",30367.890231839992
"QN186",41695.720479360025
"QN284",83193.41812895998
"QN334.01",133625.41532927993
"QN352",92945.07862560019
"QN626",98998.75684080007
"QN630",29569.853118240015
"QN616.01",99567.9040896
"QN620",52541.40717504
"QN616.02",116045.14081248
"MK1188",10452.521030400003
"QN44.01",27228.139092000012
"MK1200",15997.508650080017
"MK1202",35222.538587040035
"MK1196",36847.94694912003
"MK1190",22940.22250655998
"QN50",110475.1855008002
"QN58",93126.44858543992
"QN62.02",363175.4955830403
"QN86",34026.45839856
"QN88",81845.67372768007
"QN864",285549.4547063977
"QN840",59169.62101536
"QN180",15840.037997279993
"QN818",63091.66220352004
"QN178",28158.818520960027
"QN790",43264.41153551996
"QN182",45421.13238335994
"QN814",64234.85733648007
"QN184.01",32146.147320480006
"QN294",272925.97543728026
"QN334.02",202771.19703743994
"QN330",167628.7873224003
"QN358",96587.78359824014
"QN328",86814.91798271994
"QN646",73734.88994928008
"QN618",53675.497810080065
"QN632",39842.04934799999
"QN638",137817.08436528005
"MK1214",54912.780496799984
"MK1210",67353.84464688016
"MK1208",63853.86196943991
"MK1220",250123.38878448005
"QN62.01",104255.86116528008
"QN884",375176.12964624004
"QN838",76564.92557952012
"QN846.01",65854.41280704002
"QN792",85629.59132111998
"QN788",26071.10140608002
"QN306",331490.10088943987
"QN320",171799.34414256003
"QN682",43124.778266399975
"QN650",82653.37275744005
"MK1116",24835.792908960033
"MK1078",50091.39142992004
"QN892",937883.7345513601
"QN846.02",259882.13313791974
"QN716",2216178.0734414407
"QN690",57050.525898720036
"QN680",166988.01182976022
"QN654",192184.98853247977
"QN660",77532.32493504003
"QN656",100340.46254447999
"MK1070",885938.5094097604
"QN664",410001.25225392147
"QN694",111601.33292591987
"QN1072.02",1195404.13305792
"MK702.03",590851.5357139201
"QN1072.01",240604.86846671999
"QN1008.01",222896.10904560005
"QN972.03",542773.9338047984
"QN1008.02",271136.10546864034
"QN1032.01",61309.944476640136
"QN1032.02",126988.32924863994
"QN954",145455.1542504003
"QN964",163055.2171147201
"QN992",103734.4893048005
"QN998.01",58525.6635936001
"QN1010.02",134691.66351936004
"QN1010.01",109799.3391105598
"QN942.02",175805.8806456001
"QN972.02",59473.73911680004
"QN972.04",48870.668710080026
"QN998.02",50514.68090592
"QN938",66118.35034368008
"QN942.01",32016.152741760015
"QN942.03",59988.60776448004
"MK702.02",2250416.1881908807
"MK666",2093644.3288319984
"QN928",109944.87172272004
"QN922",113733.64350000003
"QN934.01",57104.82772560008
"QN934.02",31310.60060447999
"QN918",248786.88565103983
"QN916.01",764274.4533835215
"QN916.02",666383.6349720008
"MN297",525192.4515484804
"BX293.01",109004.34457152014
"BX293.02",131025.08246544006
"BX269",51691.39081055997
"MN309",41756.85067968005
"BX295",47412.39291696003
"BX283",15627.173906880013
"BX289",13718.086112160001
"MN287",191727.1391256
"MN295",5546.40439104
"MN293",3191.9161967999994
"MN307",5376.507956640001
"MN291",5175.837390240003
"MN303",33998.5178092801
"MN299",42517.401416640016
"BX261",41478.67575215999
"MN275",70165.43902367991
"MN283",8466.346938240018
"MN285",2488.3382491200005
"MN311",360434.20558176003
"BX257",24901.17342336
"BX263",24273.05596992001
"BX253",11664.859250880008
"BX255",10744.956574560001
"MN279",7979.116944960014
"MN281",18625.50339408002
"MN271",2378.1784694400008
"MN273",13099.839606720008
"MN269",1154.7383356799974
"MN277",12820.410488160067
"BX53",6020.233120799997
"BX205.02",13543.080010559997
"BX245.02",8833.081688639993
"BX245.01",7865.519752800004
"BX247",31306.001904
"BX249",62081.82938447998
"MN255",114533.30641679998
"MN265",8853.381002880013
"MN261",719.4411417600004
"MN263",715.4230852800038
"MN267",1781.7641783999998
"BX205.01",53437.364092799995
"BX215.01",4241.929580640009
"BX213.01",3730.8699576
"BX215.02",6349.644074880001
"BX217",11860.791762240007
"MN245",5790.507128639999
"MN247",54826.79873328005
"MN249",1932.7780699200007
"MN251",5575.69207440001
"MN253",1795.6764086399958
"BX211",14698.236409920006
"BX201",44417.70987408011
"BX193",31175.194423680034
"MN237",77031.55432368057
"MN241",7778.841216480006
"MN239",7146.2411913600035
"MN243.01",10051.644412800022
"MN243.02",53914.42120319999
"BX199",13452.453095040004
"BX189",54950.52235680001
"BX63",180891.90402192005
"MN225",41421.63328560012
"MN229",28225.73193552
"MN233",53283.9811737601
"MN231",23881.33030176
"MN235.01",29496.064878719975
"MN234",12375.683635679994
"MN235.02",2064.816515519998
"MN236",32965.22697263999
"MN259",5429.950430400003
"BX195",31735.190723040003
"MN219",23438.97247680016
"MN223.01",19551.90928320007
"MN223.02",2553.9045696000026
"MN213.03",4499.874871199996
"MN217.03",126416.58071471986
"MN227",13496.767845119984
"MN232",11975.619919679995
"MN221.02",6274.462289760001
"MN230",15514.854131519998
"MN214",26706.72078000001
"MN210",51860.079505440044
"BX61",12140.638944480015
"BX51",56300.821591679996
"BX59.02",4495.903266239999
"MN211",95417.7162609601
"MN205",108318.20916960094
"MN203",33772.74019632002
"MN209.01",20883.37242672001
"MN226",17608.60994399999
"MN215",5296.471987679997
"MN224",36764.79872832009
"MN228",14871.547031040012
"MN208",19679.047093440007
"MN212",17512.75723248002
"BX65",17984.12403168001
"BX39",21194.760191040015
"MN195",46737.986523840125
"MN199",55580.70690288008
"MN197.01",112896.98194752005
"MN201.01",3745.4789606399995
"MN220",16187.611495679997
"MN222",12406.480993440005
"MN257",9770.1482016
"MN201.02",7177.9211280000045
"MN218",14970.326188320018
"MN207.01",967.7245161599997
"MN198",61014.41990640001
"MN200",11093.273297280002
"MN206",16973.640891360024
"MN196",15594.0075216
"MN242",44076.2215248
"BX23",17852.224940640008
"BX19",211462.92675072
"MN183",44709.982837920164
"MN187",53380.01969135995
"MN191",44190.51548976012
"MN193",9438.11273664001
"MN189",42522.069794400144
"MN186",28608.469234560005
"MN197.02",2919.2457744000026
"MN216",10807.921609919998
"MN143",2272562.76325248
"MN184",30387.655353599985
"MN190",10405.210157280006
"MN174.02",10531.024099200004
"MN182",25580.224968479997
"MN188",13373.81067168002
"MN194",26689.25500848002
"MN240",881667.33859728
"MN192",40032.52380576002
"BX27.01",14082.26602896
